,directorio,secuencia_p,HHincome,fex,hhsize
2666,7312289,1,9211891.0,326.468318939209,9
4429,7314416,1,6834000.0,118.31396484375,9
8322,7318809,1,6050000.0,127.46228885650635,9
11777,7322921,1,660000.0,159.39045524597168,9
13505,7324836,1,5785833.5,347.6681213378906,9
15221,7327178,1,2650000.0,72.87259769439697,9
16444,7328628,1,7820000.0,1056.0908660888672,9
24267,7337790,1,2387500.0,44.60362958908081,9
33390,7348366,1,2941500.0,110.57172775268555,9
38691,7354461,1,3681666.75,975.1243057250977,9
40413,7356628,1,6145000.0,162.15578269958496,9
40588,7356884,1,2065606.0,169.65319633483887,9
43656,7360321,1,3333333.25,322.0115089416504,9
44911,7361691,1,2144600.0,17.23698341846466,9
45762,7362565,1,8671667.0,179.2353858947754,9
49688,7367329,1,7469500.0,1394.8074645996094,9
51652,7369398,1,5760000.0,262.97583961486816,9
51783,7369559,1,3564000.0,1393.3057708740234,9
54594,7372985,1,1523333.375,673.2798156738281,9
56127,7374580,1,3860000.0,632.0507354736328,9
57402,7376173,1,6339750.0,193.68829536437988,9
65213,7385171,1,4520000.0,410.4023895263672,9
66986,7387121,1,9788333.0,367.45326232910156,9
67646,7387872,1,6470000.0,555.6362915039062,9
68272,7388645,1,2982500.0,135.5304765701294,9
68683,7389178,1,5840000.0,98.63108253479004,9
70195,7390981,1,200000.0,23.579915285110474,9
77244,7398852,1,7408333.5,297.7130470275879,9
88278,7411789,1,4146666.75,66.7732286453247,9
90884,7414861,1,5612500.0,80.34815883636475,9
91697,7415951,1,5100000.0,109.30436038970947,9
91805,7416086,1,5467000.0,205.54693794250488,9
93300,7417805,1,9275000.0,211.87332916259766,9
96011,7420888,1,8693333.0,130.09657859802246,9
96504,7421479,1,5956666.5,38.72254514694214,9
99677,7425288,1,4813333.5,195.3599681854248,9
103161,7429241,1,1901666.625,217.48588371276855,9
108190,7435065,1,5983723.0,75.67054080963135,9
112360,7440023,1,9445833.0,270.25213623046875,9
113333,7441173,1,5698333.5,54.96005058288574,9
114565,7442729,1,7040000.0,286.55255126953125,9
117824,7446316,1,7336666.5,334.1597785949707,9
120386,7449076,1,4465000.0,473.0184516906738,9
121740,7450605,1,6085484.5,656.7068710327148,9
123707,7453107,1,4350000.0,23.858759880065918,9
126292,7455883,1,6611833.0,487.27856826782227,9
128314,7458400,1,6120000.0,304.5000228881836,9
133738,7464693,1,4800000.0,1280.361099243164,9
134135,7465124,1,3936666.75,1590.6953430175781,9
135386,7466631,1,2950000.0,29.412089109420776,9
139752,7471637,1,5450000.0,130.38069534301758,9
140985,7472954,1,4820000.0,652.7826919555664,9
142320,7474643,1,7220000.0,39.435094356536865,9
143923,7476609,1,700000.0,83.20824337005615,9
148037,7481566,1,5102266.5,335.4560966491699,9
151012,7484795,1,2216666.75,174.28412246704102,9
152854,7487296,2,5200000.0,11.581470608711243,9
159495,7495024,1,9908333.0,1100.8554153442383,9
164454,7500727,1,7020474.5,76.7872838973999,9
164936,7501315,1,8200000.0,41.17856025695801,9
171383,7508505,1,1775000.0,139.8758955001831,9
173317,7510923,1,5358333.5,140.92918395996094,9
181313,7520382,1,6935833.5,1187.0439147949219,9
182624,7521834,1,3465933.25,867.5169982910156,9
184037,7523480,1,6081667.0,74.48309898376465,9
184731,7524348,1,6696000.0,249.50543403625488,9
194219,7535163,1,4810000.0,198.29046821594238,9
196691,7538014,1,6121666.5,97.60566329956055,9
200606,7542560,1,1200000.0,94.23692893981934,9
205561,7548375,1,6520000.0,816.7815856933594,9
205872,7548753,1,8887500.0,128.40329360961914,9
206924,7550145,1,5771666.5,101.33865451812744,9
212551,7556638,1,1710000.0,188.89990425109863,9
212883,7557086,1,4526666.5,60.809600830078125,9
213954,7558575,1,6000000.0,2138.964614868164,9
220448,7565847,1,6800000.0,159.52050590515137,9
221648,7567403,1,7831212.0,492.89625549316406,9
223127,7568961,1,4365000.0,880.1661071777344,9
223181,7569016,1,5808700.0,256.6410713195801,9
227116,7573715,1,5665000.0,2078.0977478027344,9
227172,7573809,1,1200000.0,136.46252059936523,9
227732,7574509,1,2780000.0,111.02818393707275,9
230141,7577454,1,3200000.0,56.601064682006836,9
230875,7578246,1,4657500.0,933.8543014526367,9
233691,7581584,1,7440000.0,291.79522705078125,9
241938,7591388,1,6060000.0,709.1098709106445,9
249076,7600069,1,3510000.0,84.01676845550537,9
249155,7600165,1,2794545.25,89.5037956237793,9
257206,7610349,1,3833333.25,151.2022247314453,9
259148,7612493,1,4400000.0,561.6163902282715,9
259800,7613333,1,4777000.0,100.82070064544678,9
263897,7620545,1,8630000.0,446.0929527282715,9
