,directorio,secuencia_p,HHincome,fex,hhsize
2397,7311931,1,5417500.0,64.36554431915283,10
8512,7319050,1,5130000.0,17.368110418319702,10
11857,7323002,1,3225000.0,14.969464540481567,10
37797,7353469,1,7641818.0,671.9322967529297,10
44827,7361605,1,3250000.0,30.637376308441162,10
49702,7367345,1,4610000.0,270.5111885070801,10
56330,7374818,1,9050000.0,497.73658752441406,10
56338,7374826,1,7200000.0,225.43529510498047,10
56339,7374827,1,4085505.25,293.09009552001953,10
56386,7374880,1,6476000.0,1915.8172607421875,10
77785,7399557,1,8402000.0,256.2371253967285,10
78977,7401130,3,1816666.625,140.9848117828369,10
85770,7409079,1,3520000.0,234.28525924682617,10
107462,7434136,1,6050000.0,368.5256576538086,10
117825,7446317,1,3966666.75,375.3303527832031,10
121757,7450625,1,5150000.0,311.82939529418945,10
121802,7450679,1,5963333.5,957.6975250244141,10
127680,7457716,1,2555000.0,25.872137546539307,10
131171,7461788,1,4100000.0,267.62001037597656,10
142521,7474891,1,9600000.0,259.8943328857422,10
148374,7481964,1,6441666.5,176.45156860351562,10
159491,7495020,1,7812272.5,1308.3633422851562,10
160623,7496229,1,6440000.0,54.473371505737305,10
162657,7498417,1,6707500.0,290.24009704589844,10
170735,7507630,1,2343333.25,158.2694149017334,10
171284,7508378,1,6358333.5,46.349287033081055,10
174945,7512834,1,8235000.0,141.27910614013672,10
183344,7522633,1,7376666.5,205.95033645629883,10
199778,7541482,1,5860000.0,422.8521728515625,10
205912,7548811,1,6444606.0,60.047550201416016,10
211049,7554827,1,6815000.0,1052.7828979492188,10
216753,7561591,1,1053333.375,316.9256401062012,10
223176,7569011,1,5700000.0,267.845401763916,10
226952,7573532,1,4664333.5,344.37267303466797,10
249659,7600810,1,8475000.0,113.64276885986328,10
250118,7601327,1,1825000.0,112.2492790222168,10
260260,7613964,1,8153333.5,23.614048957824707,10
262967,7617273,1,972500.0,64.71255779266357,10
