,directorio,secuencia_p,HHincome,fex,hhsize
435,7309559,1,2146666.75,636.782958984375,8
446,7309570,1,4808000.0,636.782958984375,8
756,7309963,1,4591666.5,114.57984161376953,8
2334,7311857,1,5233333.5,210.03041076660156,8
3205,7312949,1,6619344.0,153.69007873535156,8
3461,7313230,1,4534344.0,52.24471664428711,8
3725,7313567,1,7444505.0,970.2211303710938,8
4910,7314992,1,2073333.375,14.78396224975586,8
7993,7318328,1,4350000.0,76.89082336425781,8
12617,7323794,1,4862000.0,1434.6456298828125,8
12710,7323897,1,810000.0,602.6131591796875,8
13065,7324308,1,1441666.625,371.6103820800781,8
13234,7324502,1,1433491.625,1366.16357421875,8
13478,7324806,1,3495000.0,244.97657775878906,8
13554,7324889,1,2630000.0,469.49169921875,8
14759,7326513,1,3200000.0,294.2946472167969,8
15544,7327580,1,8607500.0,507.3772277832031,8
15909,7328003,1,3942500.0,443.7427062988281,8
16558,7328745,1,6652172.0,514.0693359375,8
18591,7331016,1,4000000.0,1672.3634033203125,8
19754,7332228,1,7202527.0,135.52699279785156,8
19968,7332493,1,8850000.0,37.825042724609375,8
20017,7332542,1,5656666.5,129.6619873046875,8
20199,7332734,1,7956666.5,1139.47607421875,8
20264,7332821,1,2163333.5,432.1058349609375,8
21805,7334598,1,4100000.0,478.2373046875,8
21894,7334708,1,8730000.0,397.5117492675781,8
21953,7334783,1,6570833.5,484.8271484375,8
23492,7336787,1,6930000.0,157.96510314941406,8
25219,7338897,1,8241666.5,84.03057098388672,8
25638,7339344,1,5500000.0,118.1031723022461,8
25646,7339352,1,1929166.75,63.16689682006836,8
26880,7340645,1,4396666.5,619.4639892578125,8
26936,7340711,1,4290000.0,682.7561645507812,8
27182,7341042,1,3200000.0,144.82174682617188,8
27704,7341708,1,3283333.25,98.28598022460938,8
31355,7346034,1,4428333.5,324.80072021484375,8
33856,7348977,1,6606805.0,109.97029113769531,8
34018,7349192,1,6460000.0,73.76847839355469,8
35305,7350839,1,2415500.0,923.5966796875,8
35407,7350951,1,2920000.0,130.33956909179688,8
36129,7351711,1,6167082.0,304.70465087890625,8
37290,7352961,1,6550000.0,181.7250518798828,8
39752,7355775,1,6500000.0,242.21224975585938,8
41498,7357977,1,8622689.0,515.0949096679688,8
42140,7358692,1,6221667.0,793.9533081054688,8
45658,7362457,1,750000.0,38.33620071411133,8
46594,7363509,1,5843333.5,314.8251647949219,8
47325,7364344,1,4340000.0,481.5179748535156,8
47394,7364419,1,3942100.0,246.60829162597656,8
49203,7366749,1,8612500.0,1163.461181640625,8
49448,7367044,1,8140000.0,65.75843048095703,8
50012,7367699,1,8990000.0,130.74929809570312,8
50711,7368429,1,5142000.0,81.39157104492188,8
54330,7372707,1,3790000.0,282.8082275390625,8
56318,7374806,1,8919000.0,238.808349609375,8
56331,7374819,1,3101666.75,335.45166015625,8
56336,7374824,1,4290000.0,321.1713562011719,8
57056,7375735,1,5766667.0,115.1091537475586,8
60427,7379550,1,5466666.5,506.4921875,8
61426,7380707,1,9202273.0,170.5768585205078,8
61824,7381181,1,1800000.0,100.04442596435547,8
62214,7381656,1,2025000.0,50.3905029296875,8
63211,7382829,1,2397266.75,640.0879516601562,8
63259,7382879,1,960000.0,1566.5445556640625,8
63490,7383144,1,6700000.0,18.255672454833984,8
65834,7385851,1,9074000.0,114.4056396484375,8
66561,7386617,1,5794466.5,844.9688110351562,8
67655,7387882,1,4127333.25,234.45269775390625,8
68369,7388781,1,2885000.0,46.24684143066406,8
68967,7389561,1,4660000.0,112.3260498046875,8
70194,7390980,1,1741666.625,36.53688430786133,8
73726,7394948,1,1700000.0,179.600341796875,8
77267,7398880,1,6810000.0,397.5685729980469,8
82082,7404550,1,956666.6875,187.85284423828125,8
82722,7405289,1,4121666.75,320.42047119140625,8
85759,7409068,1,8558939.0,152.63108825683594,8
90097,7413828,1,6748333.5,456.1332092285156,8
90180,7413919,1,4569333.5,318.8686828613281,8
90350,7414139,1,6972666.5,133.63006591796875,8
91909,7416233,1,4918333.5,110.45136260986328,8
94200,7418796,1,2029000.0,383.8390808105469,8
95717,7420543,1,8880000.0,398.1094055175781,8
96065,7420950,1,3600000.0,212.0092315673828,8
96804,7421851,1,4812500.0,81.58909606933594,8
97308,7422439,1,5520000.0,40.59522247314453,8
97594,7422798,1,2840000.0,113.55241394042969,8
97718,7422961,1,3710000.0,227.46990966796875,8
98262,7423619,1,4303333.5,49.48343276977539,8
100321,7425997,1,3318333.5,137.78546142578125,8
102007,7427758,1,7166667.0,192.17930603027344,8
102559,7428480,1,5244166.5,164.8105010986328,8
102634,7428585,1,5120606.0,112.1045150756836,8
103110,7429171,1,7715500.0,349.1048278808594,8
103316,7429465,1,6937328.0,137.681640625,8
103951,7430322,1,8070000.0,9.980854034423828,8
107516,7434198,1,4860045.5,1016.6729125976562,8
108005,7434823,1,4860000.0,48.364845275878906,8
108527,7435521,1,4875000.0,230.5466766357422,8
109219,7436491,1,8121733.5,1490.4063720703125,8
110186,7437616,1,8800000.0,71.02617645263672,8
112789,7440524,1,3205000.0,152.8148956298828,8
112800,7440537,1,2750000.0,127.34574890136719,8
113356,7441199,1,5333333.0,104.73053741455078,8
113565,7441473,1,9326667.0,82.20997619628906,8
115059,7443308,1,6701666.5,90.32901763916016,8
115105,7443357,1,2130000.0,120.76213073730469,8
115712,7444084,1,9310000.0,1356.4549560546875,8
118736,7447307,1,3139166.75,953.792724609375,8
118739,7447310,1,2828333.25,937.4111938476562,8
118993,7447577,1,4183333.5,95.50930786132812,8
122042,7450967,1,8853500.0,61.72127914428711,8
122947,7452120,1,7391333.5,123.73516082763672,8
123256,7452561,1,3750000.0,84.24308013916016,8
124691,7454217,1,5308333.5,38.828243255615234,8
124783,7454321,1,6680000.0,148.02566528320312,8
125057,7454598,1,6709787.5,200.70574951171875,8
125585,7455121,1,6586666.5,42.94526672363281,8
126295,7455886,1,2140000.0,433.1365051269531,8
126299,7455890,1,7978545.5,311.3207092285156,8
126492,7456127,1,3934606.0,130.8231964111328,8
127117,7456929,1,5258333.5,227.6884307861328,8
129850,7460145,1,1980000.0,175.07217407226562,8
129993,7460324,1,7571484.5,140.68370056152344,8
131138,7461733,1,4070000.0,94.9049072265625,8
131162,7461778,1,5423333.5,189.17274475097656,8
131933,7462709,1,3627866.75,1936.3714599609375,8
132984,7463872,1,4015606.0,133.1331787109375,8
136463,7467963,1,9512000.0,202.7938995361328,8
141727,7473812,1,5563378.5,181.8686065673828,8
142490,7474849,1,4974766.5,66.36792755126953,8
142713,7475174,1,3221666.75,281.2596130371094,8
143906,7476591,1,563333.3125,96.82412719726562,8
143913,7476598,1,2983939.5,96.82412719726562,8
144622,7477388,1,2708333.25,491.22802734375,8
144815,7477612,1,2565000.0,1018.0791625976562,8
146712,7479883,1,6350000.0,19.941499710083008,8
146814,7480009,1,1550000.0,296.2130126953125,8
148062,7481593,1,4178000.0,151.4061737060547,8
150580,7484262,1,2940000.0,301.7584228515625,8
150698,7484409,1,6402666.5,454.2139587402344,8
151690,7485685,1,3458333.25,170.53561401367188,8
152169,7486375,1,5200000.0,1113.84375,8
152492,7486811,1,3920000.0,89.96512603759766,8
152855,7487297,1,766666.6875,10.29464054107666,8
154484,7489090,1,4596666.5,69.88155364990234,8
156231,7491021,1,5065000.0,141.1612548828125,8
157146,7492172,1,6632500.0,35.040061950683594,8
157488,7492651,1,4060000.0,509.33642578125,8
159128,7494630,1,4500000.0,127.49491882324219,8
160916,7496539,1,3397272.5,122.37141418457031,8
160969,7496592,1,5240000.0,404.59765625,8
161315,7496940,1,4319166.5,68.72705841064453,8
162694,7498457,1,4480000.0,460.90460205078125,8
162850,7498632,1,7270000.0,1687.907470703125,8
163547,7499496,1,8150000.0,119.3658218383789,8
164296,7500500,1,2000000.0,80.45420837402344,8
166665,7503177,1,6205000.0,145.3185577392578,8
166813,7503332,1,3579333.5,361.8827819824219,8
168661,7505330,1,4775000.0,35.61064529418945,8
169558,7506241,1,4770000.0,286.6107177734375,8
170200,7506952,1,1460000.0,1063.777099609375,8
170211,7506964,1,2551666.75,1167.10107421875,8
170505,7507303,1,8056666.5,304.34930419921875,8
171082,7508073,1,6766666.5,330.2388610839844,8
171478,7508632,1,4780000.0,157.84120178222656,8
172909,7510463,1,5545000.0,671.4764404296875,8
173293,7510896,1,4900000.0,95.92282104492188,8
174949,7512838,1,3146000.0,124.51660919189453,8
177511,7515780,1,6096666.5,51.38846206665039,8
178713,7517062,1,4417272.5,113.61267852783203,8
179422,7517865,1,2960000.0,2487.13427734375,8
179586,7518054,1,7056583.5,562.387451171875,8
179604,7518072,1,8145133.5,199.40699768066406,8
179885,7518414,1,3943939.25,51.76103210449219,8
180378,7519104,1,7886666.5,20.6678524017334,8
180410,7519149,1,3450000.0,76.03805541992188,8
182759,7521982,1,7650000.0,274.33416748046875,8
183448,7522746,1,7050000.0,1115.0208740234375,8
187460,7527495,1,5685833.5,242.0675811767578,8
189251,7529386,1,7100606.0,1268.4630126953125,8
189385,7529533,1,3740000.0,1521.7652587890625,8
190127,7530366,1,6283939.5,195.54685974121094,8
193080,7533925,1,9315000.0,83.88016510009766,8
193314,7534162,1,3700000.0,28.584156036376953,8
193393,7534266,1,5363333.5,447.4896240234375,8
194511,7535461,1,3250000.0,63.436763763427734,8
195864,7536938,1,3260000.0,261.39849853515625,8
196659,7537984,1,7177500.0,149.93601989746094,8
198562,7540183,1,7852548.5,140.55130004882812,8
200427,7542332,1,920000.0,201.09593200683594,8
202647,7545175,1,3079850.0,909.6426391601562,8
205654,7548481,1,8170000.0,364.8595886230469,8
206106,7549071,1,5283939.5,130.36866760253906,8
207973,7551561,1,6159966.5,381.7193603515625,8
209142,7552816,1,9150000.0,570.2399291992188,8
211398,7555224,1,7106666.5,359.06048583984375,8
211867,7555773,1,4100000.0,677.7066040039062,8
212427,7556472,1,9742167.0,26.209442138671875,8
213397,7557835,1,3800000.0,662.0828857421875,8
213933,7558526,1,7600000.0,27.731645584106445,8
213960,7558581,1,5332272.5,746.5463256835938,8
216020,7560795,1,4708000.0,561.7056884765625,8
217993,7562929,1,9455000.0,372.7078857421875,8
219169,7564215,1,3145000.0,551.4646606445312,8
219764,7564934,1,1505000.0,127.51728057861328,8
222039,7567817,1,4260000.0,76.28529357910156,8
224053,7570127,1,1626666.625,84.89274597167969,8
225681,7572143,1,4349939.5,317.9071044921875,8
226941,7573521,1,6660000.0,534.2084350585938,8
226944,7573524,1,4400000.0,267.8454284667969,8
227741,7574521,1,3240000.0,186.80453491210938,8
228196,7575100,1,9650000.0,258.1804504394531,8
228520,7575493,1,5261433.5,103.87141418457031,8
228625,7575654,1,8628943.0,535.35546875,8
228964,7576076,1,2990000.0,121.4784927368164,8
229007,7576123,1,4846000.0,110.47299194335938,8
229594,7576873,1,2830000.0,333.1302490234375,8
231002,7578384,1,1330000.0,439.1655578613281,8
231528,7578955,1,1691666.75,41.82699966430664,8
234655,7582913,1,4501818.0,1629.9945068359375,8
