,directorio,secuencia_p,HHincome,fex,hhsize
175,7309252,1,4984344.0,1328.3917388916016,7
1888,7311308,1,7041666.5,132.8519458770752,7
2004,7311450,1,3030000.0,36.92994403839111,7
2376,7311909,1,3350333.5,60.34269618988037,7
2429,7311971,1,7170000.0,116.5008373260498,7
2482,7312029,1,4599333.5,132.07640075683594,7
2616,7312231,1,3040000.0,367.8536796569824,7
3091,7312799,1,7318000.0,131.43031120300293,7
3284,7313014,1,6762000.0,165.8876552581787,7
3484,7313258,1,2943333.25,69.30896949768066,7
3561,7313357,1,516666.65625,166.2873306274414,7
3791,7313650,1,3187500.0,579.2668762207031,7
3951,7313849,1,3900000.0,189.38145065307617,7
4287,7314252,1,1826666.625,29.0173397064209,7
4651,7314682,1,6316667.0,101.22421264648438,7
4742,7314781,1,2150000.0,240.67047500610352,7
4853,7314919,1,2400000.0,182.78323554992676,7
5531,7315656,1,6497666.5,590.2160186767578,7
5767,7315901,1,9814511.0,177.69206428527832,7
5932,7316069,1,1200000.0,63.794297218322754,7
6123,7316276,1,4125000.0,204.8151683807373,7
6283,7316439,1,4640000.0,412.00125885009766,7
6645,7316814,1,2041666.625,697.5695037841797,7
7510,7317759,1,2963666.5,350.89449310302734,7
7524,7317774,1,3950000.0,322.68701171875,7
7595,7317859,1,4367583.0,597.7131729125977,7
7688,7317950,1,5359849.5,259.1918601989746,7
7690,7317953,1,5655523.5,277.74560928344727,7
7926,7318254,1,9059305.0,163.82015800476074,7
8034,7318409,1,1450000.0,99.10054588317871,7
8115,7318511,1,5312500.0,87.77196884155273,7
8328,7318818,1,1600000.0,124.3855972290039,7
9178,7319925,1,4420010.5,110.81772994995117,7
9393,7320188,1,4634000.0,296.9691734313965,7
9496,7320343,1,1840000.0,52.04517316818237,7
9553,7320408,1,6710000.0,145.6491413116455,7
9660,7320536,1,2621500.0,255.15152740478516,7
9855,7320789,1,2725000.0,361.95714950561523,7
10040,7321033,1,600000.0,25.270281314849854,7
10425,7321483,1,3667000.0,210.541841506958,7
10449,7321506,1,4570000.0,232.07033157348633,7
10535,7321598,1,3636666.75,86.38123607635498,7
10628,7321702,1,3531500.0,16.07950186729431,7
11318,7322454,1,3058341.5,488.3867721557617,7
11783,7322928,1,1800000.0,93.85541248321533,7
11935,7323084,1,6650000.0,64.65936374664307,7
11945,7323094,1,6800000.0,38.701977252960205,7
12139,7323293,1,2602500.0,577.2450408935547,7
12612,7323788,1,5430000.0,388.36936950683594,7
13079,7324323,1,1891666.75,484.00787353515625,7
13504,7324835,1,3958838.75,339.09750747680664,7
13857,7325293,1,5243333.5,41.75086212158203,7
14132,7325700,1,7360000.0,89.88198375701904,7
14135,7325703,1,3360000.0,47.15771818161011,7
14267,7325867,1,54166.66796875,129.62428855895996,7
14639,7326349,1,1840000.0,20.523775815963745,7
14650,7326361,1,5640000.0,29.631202220916748,7
14691,7326429,1,5450000.0,217.5064868927002,7
15054,7326947,1,3800833.5,330.1388511657715,7
15134,7327075,1,1600000.0,36.22303867340088,7
15178,7327124,1,6337500.0,65.6988468170166,7
15220,7327177,1,2150000.0,57.7689790725708,7
15306,7327277,1,1350000.0,311.91616439819336,7
15673,7327740,1,3900000.0,50.685519218444824,7
15724,7327794,1,3283333.25,471.9189453125,7
15911,7328005,1,7153333.0,434.6038055419922,7
15922,7328017,1,6200000.0,444.98361587524414,7
16040,7328159,1,5741339.0,487.3639450073242,7
16414,7328589,1,6106666.5,1515.9185943603516,7
16583,7328771,1,4758333.5,289.9998550415039,7
18126,7330473,1,4583341.5,947.8432159423828,7
18365,7330743,1,2755000.0,340.12559509277344,7
18586,7331011,1,2396666.75,1045.4149017333984,7
18896,7331353,1,3023666.5,192.84338569641113,7
19131,7331591,1,4790000.0,43.11562633514404,7
19175,7331640,1,7770000.0,124.42870903015137,7
19295,7331766,1,5600000.0,298.9929847717285,7
20132,7332666,1,3920000.0,2158.560272216797,7
20171,7332706,1,8439400.0,1017.5576019287109,7
20178,7332713,1,5445000.0,1425.203353881836,7
20197,7332732,1,7310000.0,655.3864822387695,7
21428,7334194,1,4440000.0,160.53068351745605,7
21770,7334558,1,4883837.0,696.3113708496094,7
21959,7334789,1,3265333.5,364.8670425415039,7
21969,7334799,1,2230000.0,263.32041931152344,7
22130,7335006,1,4842479.0,197.46318435668945,7
22304,7335225,1,6143323.5,329.4779815673828,7
22576,7335582,1,400000.0,82.93258571624756,7
22808,7335889,1,4666666.5,17.68527126312256,7
23466,7336754,1,3705000.0,164.6272258758545,7
23826,7337227,1,1550505.375,100.44064998626709,7
24026,7337483,1,6076422.0,477.8987350463867,7
24107,7337582,1,8217672.0,167.620698928833,7
24531,7338136,1,1885833.375,24.90039300918579,7
24925,7338587,1,4293939.5,134.89731979370117,7
25773,7339480,1,4690000.0,183.36027145385742,7
25949,7339660,1,4643700.0,74.72865295410156,7
27025,7340818,1,3817000.0,1318.4682006835938,7
27439,7341367,1,6808333.5,48.771209716796875,7
28068,7342175,1,2200000.0,28.153738498687744,7
28209,7342349,1,4393333.5,81.61863040924072,7
29643,7344185,1,9364667.0,71.89282035827637,7
29693,7344245,1,2200000.0,28.611536026000977,7
30779,7345431,1,7162000.0,86.4193811416626,7
31357,7346036,1,3366666.75,844.5359649658203,7
31363,7346042,1,6876000.0,408.61301040649414,7
31981,7346687,1,3135000.0,947.6780853271484,7
32254,7346995,1,9729967.0,2189.591583251953,7
32420,7347181,1,1886666.625,260.946346282959,7
32556,7347325,1,2867333.5,491.47362518310547,7
32631,7347407,1,1535000.0,170.40495491027832,7
32684,7347463,1,2894333.5,1542.3316955566406,7
32821,7347636,1,5583333.5,101.9715461730957,7
33595,7348630,1,9804167.0,45.153873920440674,7
34082,7349262,1,7576750.0,62.22554969787598,7
34432,7349750,1,5900000.0,105.30030727386475,7
34951,7350384,1,1413000.0,80.59607028961182,7
35042,7350527,1,3580000.0,343.41333389282227,7
35412,7350956,1,5666667.0,76.0314130783081,7
35987,7351557,1,40000.0,24.68001079559326,7
36732,7352367,1,2063000.0,80.54737758636475,7
37087,7352757,1,2180000.0,31.281930923461914,7
37305,7352976,1,3880371.5,178.42160034179688,7
37366,7353037,1,4369774.0,105.25586032867432,7
37391,7353062,1,3340000.0,145.66259956359863,7
37410,7353085,1,2484772.5,144.30405044555664,7
37444,7353118,1,5520833.0,176.24056243896484,7
37608,7353277,1,3400000.0,628.4497375488281,7
37729,7353399,1,720000.0,72.36229705810547,7
38675,7354441,1,1748333.25,768.8846740722656,7
38679,7354447,1,5137500.0,724.4840850830078,7
38699,7354470,1,2690000.0,483.24988555908203,7
38795,7354570,1,9654000.0,314.3430824279785,7
