,directorio,secuencia_p,HHincome,fex,hhsize
20,7309082,1,6241666.5,54.24915790557861,5
62,7309127,1,2433866.5,556.4555358886719,5
98,7309165,1,3321338.5,483.00098419189453,5
183,7309262,1,1200505.375,676.2789916992188,5
209,7309292,1,3950000.0,460.69847106933594,5
243,7309333,1,1725505.375,601.3592910766602,5
291,7309385,1,9013639.0,263.39311599731445,5
319,7309428,1,660000.0,184.72030639648438,5
322,7309431,1,6491667.0,316.4674186706543,5
336,7309447,1,2166666.75,214.03579711914062,5
358,7309473,1,3843000.0,259.51709747314453,5
381,7309496,1,5226667.0,306.7499542236328,5
393,7309509,1,4520166.5,221.62054061889648,5
411,7309527,1,3550000.0,171.53268814086914,5
438,7309562,1,2240333.5,717.8059387207031,5
468,7309593,1,5612500.0,173.10813903808594,5
503,7309636,1,5767172.0,951.4992523193359,5
559,7309715,1,1523333.375,1520.0616455078125,5
587,7309751,1,7760333.0,1320.0906372070312,5
650,7309845,1,4810333.5,114.14573669433594,5
652,7309847,1,6296666.5,74.90158081054688,5
730,7309934,1,4667200.0,107.12662696838379,5
763,7309972,1,2052000.0,141.12231254577637,5
782,7309996,1,4220000.0,95.43314933776855,5
817,7310040,1,5257344.0,132.98516273498535,5
910,7310137,1,1240533.375,48.791208267211914,5
913,7310141,1,5550000.0,61.62565231323242,5
935,7310165,1,3858838.5,26.457302570343018,5
971,7310203,1,3656666.75,35.569634437561035,5
979,7310234,1,3283866.75,30.33235788345337,5
982,7310241,1,7091666.5,119.84173774719238,5
1017,7310281,1,5171010.5,119.16695594787598,5
1059,7310338,1,1849172.0,103.37677955627441,5
1126,7310415,1,3030838.5,85.9762191772461,5
1137,7310431,1,2990010.5,120.30675888061523,5
1142,7310439,1,2570000.0,114.77273941040039,5
1153,7310451,1,6292838.5,139.9148178100586,5
1208,7310514,1,5375000.0,27.913191318511963,5
1263,7310572,1,500000.0,104.12619590759277,5
1285,7310595,1,3320000.0,47.27893352508545,5
1355,7310682,1,3271666.5,25.536956787109375,5
1398,7310732,1,1780000.0,60.11866569519043,5
1440,7310778,2,2600000.0,126.0623550415039,5
1444,7310781,1,3329672.0,43.078551292419434,5
1450,7310788,1,3220000.0,96.9767951965332,5
1482,7310829,1,3902878.5,64.58905220031738,5
1491,7310838,1,3125000.0,39.48867082595825,5
1494,7310842,1,1200505.375,78.9773416519165,5
1498,7310848,1,2175000.0,67.11935043334961,5
1509,7310862,1,3468666.75,600.2142715454102,5
1532,7310889,1,5188666.5,479.4895935058594,5
1638,7311016,1,5625000.0,39.811270236968994,5
1643,7311024,1,925000.0,24.937264919281006,5
1657,7311039,1,1116666.625,16.885405778884888,5
1691,7311080,1,2843333.25,23.048863410949707,5
1863,7311275,1,2480000.0,43.378939628601074,5
