,directorio,secuencia_p,HHincome,fex,hhsize
1046,7310322,1,150000.0,65.93619537353516,4
1056,7310335,1,750000.0,167.04534912109375,4
1074,7310354,1,6343667.0,94.63829803466797,4
1087,7310368,1,1742172.0,84.73017120361328,4
1095,7310376,1,5373839.0,71.38325500488281,4
1115,7310399,1,200000.0,100.57233428955078,4
1128,7310418,1,1705172.0,91.4744644165039,4
1170,7310470,1,8230000.0,59.135009765625,4
1187,7310487,1,5600000.0,76.00060272216797,4
1192,7310496,1,2166666.75,67.8200912475586,4
1194,7310499,1,3532000.0,44.4322624206543,4
1206,7310512,1,6000000.0,42.978240966796875,4
1214,7310521,1,2812500.0,69.15387725830078,4
1245,7310549,1,3640000.0,43.51161193847656,4
1252,7310560,1,1556000.0,32.11893081665039,4
1277,7310586,1,1240000.0,40.05465316772461,4
1298,7310614,1,3151050.75,25.934062957763672,4
1323,7310639,2,2356000.0,29.674901962280273,4
1329,7310645,1,1468666.625,37.74936294555664,4
1330,7310646,1,5200000.0,40.71139144897461,4
1351,7310678,1,5291666.5,30.315675735473633,4
1369,7310698,1,5500000.0,69.15387725830078,4
1382,7310714,1,2200000.0,135.48463439941406,4
1388,7310720,1,4241666.5,125.59053039550781,4
1409,7310746,1,3433333.25,106.76583862304688,4
1412,7310748,1,3583000.0,115.8633041381836,4
1416,7310753,1,1733333.375,96.13180541992188,4
1417,7310754,1,9500000.0,61.3373908996582,4
1425,7310763,1,6721366.5,98.0024642944336,4
1435,7310774,1,1700000.0,47.386409759521484,4
1441,7310778,3,462500.0,100.84988403320312,4
1448,7310786,1,1020000.0,96.13180541992188,4
1455,7310794,1,1736666.75,68.15265655517578,4
1470,7310812,1,3135644.25,64.61782836914062,4
1473,7310820,1,3260000.0,65.19864654541016,4
1485,7310832,1,3013172.0,214.20516967773438,4
1497,7310845,1,2796666.5,31.016557693481445,4
1506,7310856,1,4250000.0,51.1058349609375,4
1520,7310874,1,300000.0,318.3908386230469,4
1521,7310875,1,4688666.5,669.4421997070312,4
1535,7310894,1,2511666.5,649.7064819335938,4
1559,7310927,1,1142000.0,8.147708892822266,4
1561,7310929,1,900000.0,15.306854248046875,4
1572,7310944,1,708333.3125,20.090246200561523,4
1575,7310947,1,400000.0,12.22186279296875,4
1580,7310952,1,6416666.5,12.844439506530762,4
1589,7310962,1,3138333.5,17.372827529907227,4
1592,7310965,1,2191666.75,14.943252563476562,4
1602,7310975,1,6625000.0,10.156444549560547,4
1603,7310976,1,3691666.75,12.835984230041504,4
1604,7310977,1,1056666.75,9.087554931640625,4
1606,7310979,1,6890505.5,14.548552513122559,4
1615,7310990,1,2200000.0,16.717262268066406,4
1633,7311010,1,1300000.0,15.654410362243652,4
1642,7311023,1,1006666.6875,23.574256896972656,4
1660,7311042,1,291666.6875,15.298048973083496,4
1674,7311056,1,750000.0,13.410859107971191,4
1688,7311076,1,8083333.0,27.891075134277344,4
1697,7311087,1,966666.625,13.776168823242188,4
1701,7311091,1,1966666.75,7.539161205291748,4
1716,7311111,1,3200000.0,27.382862091064453,4
1729,7311125,1,2433333.25,11.226685523986816,4
1748,7311150,1,2600000.0,71.79741668701172,4
1749,7311151,1,2383333.25,94.1448745727539,4
1762,7311166,1,4306667.0,51.04636001586914,4
1769,7311173,1,2533333.25,64.22565460205078,4
1770,7311174,1,2000000.0,77.12008666992188,4
1808,7311218,1,3000000.0,52.2303352355957,4
1809,7311219,1,3594166.5,57.53474044799805,4
1810,7311220,1,4583333.5,73.4880599975586,4
1812,7311222,1,3317000.0,55.867191314697266,4
1816,7311228,1,3000000.0,131.61260986328125,4
1818,7311230,1,5860000.0,39.27904510498047,4
1844,7311256,1,1680833.375,52.3788948059082,4
1857,7311269,1,2684000.0,74.53717803955078,4
1858,7311270,1,1083333.375,74.20606231689453,4
1866,7311278,1,2000000.0,71.10689544677734,4
1867,7311279,1,4200000.0,44.4642219543457,4
1879,7311294,1,3417500.0,56.69334411621094,4
1887,7311307,1,7507666.5,59.47481918334961,4
1891,7311312,1,1000000.0,90.45748901367188,4
1908,7311337,1,2600000.0,25.610248565673828,4
1911,7311340,1,5550000.0,19.090538024902344,4
1925,7311360,1,1947500.0,16.537168502807617,4
1932,7311369,1,3800000.0,21.285646438598633,4
1935,7311372,1,4150833.5,21.059425354003906,4
1946,7311384,1,2333333.25,19.847742080688477,4
1955,7311394,1,1800000.0,14.414007186889648,4
1959,7311400,1,1450000.0,41.72955322265625,4
1972,7311416,1,2500000.0,37.3580207824707,4
1989,7311432,1,5903666.5,20.83891487121582,4
2016,7311473,1,1390000.0,75.22578430175781,4
2033,7311492,1,100000.0,48.652305603027344,4
2034,7311493,1,4508333.5,92.97793579101562,4
2042,7311501,1,2400000.0,66.79633331298828,4
2049,7311513,1,3400000.0,79.46831512451172,4
2058,7311524,1,8550000.0,81.2083511352539,4
2068,7311535,1,1800000.0,85.48503112792969,4
2085,7311551,1,1000000.0,99.97831726074219,4
2087,7311553,1,2200000.0,83.65119934082031,4
2104,7311572,1,2000000.0,95.9735107421875,4
2105,7311573,1,5395000.0,93.78748321533203,4
2112,7311580,1,2000000.0,103.1007308959961,4
2114,7311582,1,6316667.0,36.87022399902344,4
2119,7311589,1,1940000.0,82.38448333740234,4
2127,7311601,1,1680000.0,143.84539794921875,4
2140,7311616,1,1400000.0,102.10578155517578,4
2142,7311618,1,1642000.0,78.31285858154297,4
2156,7311633,1,1400000.0,106.20099639892578,4
2159,7311638,1,4350000.0,104.48025512695312,4
2162,7311643,1,1466666.625,127.21432495117188,4
2166,7311650,1,8523666.0,75.59197235107422,4
2167,7311651,1,4000000.0,61.765621185302734,4
2186,7311678,1,2000000.0,63.571693420410156,4
2195,7311690,1,6075000.0,66.43697357177734,4
2206,7311705,1,7700000.0,61.0147705078125,4
2232,7311735,1,4100000.0,103.8077621459961,4
2243,7311748,1,3300000.0,143.2195281982422,4
2253,7311758,1,6012500.0,135.3553009033203,4
2316,7311833,1,5067000.0,70.28681182861328,4
2332,7311854,1,6300000.0,128.79635620117188,4
2333,7311856,1,3700000.0,65.51469421386719,4
2347,7311873,1,3300000.0,70.13175964355469,4
2370,7311903,1,4850000.0,34.48154067993164,4
2381,7311914,1,1950000.0,32.18277359008789,4
2384,7311917,1,2800000.0,46.32963180541992,4
2386,7311919,1,8376700.0,32.18277359008789,4
2396,7311930,1,1700000.0,25.746217727661133,4
2402,7311941,1,1800000.0,39.744022369384766,4
2407,7311946,1,2695833.5,71.2291259765625,4
2415,7311954,1,566666.6875,54.345497131347656,4
2421,7311962,1,1773333.375,53.75821304321289,4
2426,7311968,1,306666.65625,39.682132720947266,4
2451,7311996,1,166666.65625,60.338966369628906,4
2474,7312021,1,1860000.0,54.765865325927734,4
2483,7312030,1,2200000.0,53.223472595214844,4
2485,7312032,1,6000000.0,63.40653991699219,4
2490,7312037,1,5583333.5,54.7514533996582,4
2497,7312044,1,2100000.0,61.39311599731445,4
2498,7312046,1,2793838.5,50.06059646606445,4
2511,7312064,1,1240750.0,62.63410568237305,4
2522,7312075,1,1030000.0,69.01712799072266,4
2550,7312111,1,1302500.0,59.332462310791016,4
2551,7312115,1,2591010.75,44.381004333496094,4
2564,7312171,1,2045505.375,168.55628967285156,4
2567,7312174,1,4075000.0,114.64192199707031,4
2571,7312177,1,3720000.0,111.66291046142578,4
2577,7312183,1,1258333.375,89.24150848388672,4
