,directorio,secuencia_p,HHincome,fex,hhsize
11,7309073,1,8217500.0,110.28520202636719,6
14,7309076,1,6942000.0,102.41021347045898,6
114,7309181,1,4254810.5,569.1372528076172,6
162,7309238,1,2426010.5,455.772216796875,6
258,7309348,1,2990000.0,2505.1876831054688,6
325,7309434,1,5272333.0,351.8982467651367,6
350,7309465,1,3710000.0,334.7091979980469,6
369,7309484,1,1500000.0,225.58934783935547,6
431,7309554,1,2839583.25,356.354736328125,6
599,7309769,1,5303333.5,1854.5174560546875,6
681,7309879,1,2582000.0,102.91249465942383,6
715,7309918,1,1880000.0,110.4015998840332,6
761,7309970,1,1586005.375,98.19386672973633,6
765,7309975,1,5188333.0,218.24688720703125,6
854,7310079,1,2300000.0,62.056617736816406,6
878,7310102,1,3120000.0,105.25679397583008,6
1012,7310273,1,6312021.5,60.751773834228516,6
1116,7310400,1,3536505.5,133.7555809020996,6
1219,7310524,1,3836666.75,40.42090129852295,6
1260,7310569,1,3000000.0,98.9651870727539,6
1264,7310573,1,2712000.0,52.30139350891113,6
1385,7310717,1,1117000.0,63.971649169921875,6
1391,7310725,1,3908838.75,62.477291107177734,6
1406,7310742,1,8891667.0,78.97734260559082,6
1436,7310775,1,1200505.375,71.07961463928223,6
1469,7310811,1,2580000.0,46.52483654022217,6
1568,7310937,1,2748333.25,39.63677787780762,6
1670,7311052,1,1200000.0,21.85523557662964,6
1698,7311088,1,1290000.0,20.219916343688965,6
1753,7311156,1,5000000.0,92.45195960998535,6
1960,7311401,1,500000.0,39.007158279418945,6
1977,7311420,1,5345000.0,26.12383460998535,6
2003,7311449,1,2300000.0,35.465718269348145,6
2090,7311557,1,2317333.25,84.73363494873047,6
2097,7311564,1,3240000.0,128.0061264038086,6
2123,7311593,1,300000.0,88.21270751953125,6
2124,7311594,1,4731000.0,123.55594253540039,6
2309,7311824,1,8200000.0,222.86480712890625,6
2412,7311951,1,6295833.5,66.40856552124023,6
2454,7311999,1,5626333.5,83.72985076904297,6
2502,7312050,1,6220000.0,88.43935203552246,6
2563,7312170,1,8850000.0,205.8135223388672,6
2566,7312173,1,5117172.0,200.9491195678711,6
2777,7312417,1,900000.0,61.437767028808594,6
2819,7312471,1,4930005.5,99.4211196899414,6
2986,7312680,1,4315000.0,122.86866760253906,6
3129,7312850,1,1200000.0,124.1751823425293,6
3420,7313175,1,2120000.0,109.27907180786133,6
3445,7313201,1,5610000.0,77.42369842529297,6
3519,7313295,1,5734344.0,55.75507164001465,6
3553,7313346,1,8078838.5,54.007856369018555,6
3726,7313568,1,5620505.5,383.54752349853516,6
3954,7313852,1,7754000.0,38.64927291870117,6
4216,7314154,1,1737000.0,37.8903694152832,6
4305,7314276,1,175000.0,15.195539474487305,6
4369,7314353,1,2170000.0,184.71433639526367,6
4787,7314845,1,3550000.0,75.16373634338379,6
4791,7314849,1,1920000.0,170.71886444091797,6
4833,7314894,1,1750000.0,69.01257705688477,6
4986,7315075,1,2110000.0,109.99749755859375,6
5407,7315515,1,5967200.0,634.2571105957031,6
5449,7315564,1,7450000.0,2037.1770629882812,6
5451,7315566,1,5405000.0,2290.3599243164062,6
5540,7315665,1,2842172.0,314.1400680541992,6
5663,7315794,1,4795061.0,84.4819278717041,6
5930,7316067,1,1000000.0,106.84737396240234,6
5939,7316077,1,2200000.0,204.86263275146484,6
6006,7316149,1,2120000.0,13.95104455947876,6
6082,7316229,1,5440000.0,17.59180784225464,6
6206,7316362,1,6167000.0,38.6193265914917,6
6288,7316444,1,2400000.0,113.41886901855469,6
6477,7316641,1,5555500.0,141.24982452392578,6
6538,7316701,1,6450333.0,881.4570922851562,6
6820,7316989,1,4233333.5,25.618958473205566,6
6852,7317023,1,7521875.0,933.4640808105469,6
6872,7317044,1,4016666.75,106.9599723815918,6
6874,7317049,1,1200000.0,138.0735855102539,6
6989,7317185,1,2700000.0,2331.8930053710938,6
6997,7317193,1,7068333.0,1150.189453125,6
7021,7317220,1,7033333.5,469.21563720703125,6
7117,7317324,1,5310000.0,254.69815063476562,6
7436,7317670,1,4650503.5,473.17991638183594,6
7463,7317701,1,2117000.0,524.4735260009766,6
7465,7317703,1,7978196.0,2434.2877807617188,6
7468,7317706,1,3258838.5,1668.7117309570312,6
7596,7317860,1,5010000.0,345.4265670776367,6
7665,7317930,1,5555833.5,289.36024475097656,6
7678,7317941,1,5506333.5,397.9893493652344,6
7684,7317946,1,2943010.75,298.6607437133789,6
7718,7317990,1,8858838.0,834.5833740234375,6
7988,7318323,1,3922005.5,52.95553779602051,6
8073,7318454,1,2628838.75,67.10711288452148,6
8342,7318838,1,5050000.0,94.59086036682129,6
8368,7318869,1,2400000.0,63.97656440734863,6
8413,7318928,1,6001011.0,47.3864049911499,6
8414,7318930,1,329000.0,64.61782836914062,6
8429,7318945,1,3700000.0,71.07961463928223,6
8473,7319003,1,2384333.5,663.3351745605469,6
8579,7319136,1,285000.0,30.94402027130127,6
8897,7319527,1,4920000.0,114.28004837036133,6
8942,7319595,1,4385000.0,114.02469635009766,6
