,directorio,secuencia_p,HHincome,fex,hhsize
9,7309070,1,2350000.0,62.28427505493164,3
13,7309075,1,2625000.0,37.62933540344238,3
15,7309077,1,2850000.0,37.84278202056885,3
18,7309080,1,6333333.5,38.47415542602539,3
27,7309089,1,780000.0,109.20357513427734,3
39,7309103,1,1420000.0,237.2427520751953,3
48,7309112,1,1458333.375,116.42952346801758,3
49,7309113,1,4800000.0,201.1769256591797,3
51,7309115,1,2017200.0,112.82639694213867,3
55,7309119,1,4881833.5,108.66567993164062,3
58,7309122,1,2120000.0,182.71720504760742,3
65,7309130,1,3240500.0,192.13339233398438,3
68,7309133,1,5900533.5,155.28178024291992,3
70,7309135,1,1292833.375,155.28178024291992,3
71,7309136,1,4950000.0,223.40274810791016,3
84,7309151,1,5051666.5,293.5813980102539,3
85,7309152,1,800000.0,267.44956970214844,3
86,7309153,1,510000.0,345.91236877441406,3
87,7309154,1,1800000.0,295.7427978515625,3
89,7309156,1,3742677.5,293.5813980102539,3
91,7309158,1,3767170.0,402.58282470703125,3
96,7309163,1,3200503.5,383.3879699707031,3
99,7309166,1,1245505.375,399.9437713623047,3
108,7309175,1,600000.0,433.6511993408203,3
121,7309189,1,1920838.625,258.8045425415039,3
127,7309196,1,5633333.0,272.29190826416016,3
137,7309207,1,2670000.0,249.01952362060547,3
144,7309217,1,650000.0,245.90888214111328,3
155,7309227,1,4415000.0,211.93313598632812,3
161,7309237,1,2045000.0,284.25057220458984,3
169,7309245,1,2166666.75,322.2333297729492,3
171,7309247,1,6550505.5,369.10091400146484,3
174,7309251,1,5333333.5,307.3860855102539,3
177,7309254,1,3370000.0,746.2569122314453,3
182,7309261,1,3048333.5,437.6307678222656,3
186,7309265,1,1686666.625,343.1202163696289,3
187,7309266,1,3760000.0,313.3062057495117,3
189,7309268,1,2916666.5,312.7975845336914,3
194,7309274,1,250000.0,964.0055236816406,3
195,7309275,1,2050503.25,870.1643371582031,3
197,7309278,1,2230000.0,307.2190246582031,3
201,7309283,1,6000000.0,682.0366973876953,3
206,7309288,1,1147833.375,326.0057373046875,3
210,7309294,1,3166666.75,280.3305358886719,3
214,7309299,1,5166666.5,258.6072006225586,3
218,7309306,1,2800000.0,315.4332504272461,3
231,7309319,1,3566666.5,315.346435546875,3
234,7309322,1,5012500.0,274.1429443359375,3
247,7309337,1,83333.3359375,400.15264892578125,3
250,7309340,1,1830000.0,1108.1395568847656,3
261,7309352,1,3166666.75,926.2478942871094,3
267,7309358,1,6254672.0,192.49081420898438,3
271,7309362,1,1378505.375,227.03594970703125,3
273,7309364,1,2203333.5,206.22017669677734,3
277,7309368,1,5017170.0,201.09219360351562,3
285,7309377,1,3600000.0,220.95016479492188,3
292,7309386,1,4881100.0,1216.1344299316406,3
296,7309390,1,1680000.0,1417.1604309082031,3
301,7309396,1,891666.625,698.8619842529297,3
303,7309400,1,3000000.0,630.5550384521484,3
308,7309408,1,200000.0,1214.5352783203125,3
312,7309412,1,1117600.0,306.7103805541992,3
317,7309426,1,75000.0,157.98391342163086,3
328,7309437,1,8723000.0,175.98163604736328,3
342,7309456,1,3300000.0,158.39234161376953,3
364,7309479,1,4097000.0,149.4883575439453,3
367,7309482,1,2111666.75,120.28391647338867,3
368,7309483,1,2952000.0,140.51338577270508,3
371,7309486,1,2928666.5,203.7077407836914,3
373,7309488,1,1657000.0,175.44605255126953,3
392,7309508,1,1525333.375,128.80393981933594,3
394,7309510,1,4342000.0,146.54729461669922,3
397,7309513,1,275000.0,158.266845703125,3
410,7309526,1,2225000.0,150.70631790161133,3
416,7309533,1,708333.3125,286.66719818115234,3
425,7309548,1,3040000.0,283.2875289916992,3
430,7309553,1,3990166.75,159.47050094604492,3
434,7309558,1,4910000.0,449.7113342285156,3
444,7309568,1,5800000.0,142.67448806762695,3
448,7309572,1,2763005.5,172.33768844604492,3
449,7309573,1,2800000.0,188.04217529296875,3
452,7309576,1,720000.0,134.69305801391602,3
456,7309581,1,2580000.0,191.54982376098633,3
466,7309591,1,3550000.0,191.54982376098633,3
471,7309596,1,3264000.0,278.37430572509766,3
486,7309616,1,3341666.75,1383.6349182128906,3
490,7309620,1,1500000.0,1034.8426208496094,3
498,7309629,1,3450000.0,720.1331176757812,3
502,7309634,1,1401666.625,773.3768005371094,3
507,7309642,1,2533333.25,810.1497802734375,3
511,7309648,1,2362500.0,866.8268737792969,3
512,7309651,1,9117000.0,1084.4769287109375,3
518,7309658,1,5400667.0,1071.5615844726562,3
522,7309664,1,7050000.0,1170.5272521972656,3
523,7309665,1,2741666.5,1170.5272521972656,3
535,7309681,1,800000.0,952.9781799316406,3
546,7309698,1,2940666.75,1477.3473815917969,3
548,7309700,1,1998666.625,1203.9708251953125,3
