,directorio,secuencia_p,HHincome,fex,hhsize
2,7309062,1,500000.0,116.0301513671875,1
3,7309063,1,240000.0,116.0301513671875,1
28,7309091,1,800000.0,41.51810836791992,1
30,7309093,1,950000.0,37.86581802368164,1
34,7309098,1,1000000.0,61.214027404785156,1
41,7309105,1,1000000.0,40.21131896972656,1
45,7309109,1,1525000.0,87.2677230834961,1
47,7309111,1,50000.0,40.21131896972656,1
50,7309114,1,2833333.25,61.7688102722168,1
66,7309131,1,1975000.0,60.995235443115234,1
67,7309132,1,3250000.0,40.06759262084961,1
69,7309134,1,1451666.625,40.06759262084961,1
73,7309139,1,1090000.0,127.00763702392578,1
75,7309142,1,1408666.625,131.67750549316406,1
78,7309145,1,1283333.375,131.67750549316406,1
79,7309146,1,1579672.0,131.67750549316406,1
80,7309147,1,800000.0,131.67750549316406,1
81,7309148,1,1470833.375,131.67750549316406,1
82,7309149,1,1200000.0,131.67750549316406,1
90,7309157,1,1338838.625,109.30548858642578,1
93,7309160,1,600000.0,100.88044738769531,1
102,7309169,1,1240000.0,101.5958480834961,1
103,7309170,1,2000000.0,104.74347686767578,1
106,7309173,1,16666.666015625,157.44749450683594,1
123,7309192,1,1908505.375,170.11097717285156,1
131,7309201,1,2050000.0,144.3268585205078,1
135,7309205,1,1887500.0,95.76545715332031,1
136,7309206,1,600000.0,92.88763427734375,1
140,7309210,1,3600000.0,163.23658752441406,1
142,7309213,1,1167000.0,163.23658752441406,1
154,7309226,2,7000000.0,98.8415756225586,1
156,7309228,1,208333.328125,91.43626403808594,1
157,7309229,1,5408333.5,111.85415649414062,1
158,7309233,1,2083333.375,131.67750549316406,1
164,7309240,1,80000.0,135.22042846679688,1
179,7309257,1,1456338.625,154.67898559570312,1
184,7309263,1,1341666.625,134.4301300048828,1
185,7309264,1,500000.0,153.34449768066406,1
207,7309290,1,2029333.375,115.9300537109375,1
213,7309297,1,450000.0,109.12207794189453,1
215,7309300,1,9000000.0,116.10954284667969,1
222,7309310,1,600000.0,122.81877899169922,1
224,7309312,1,5000000.0,108.48430633544922,1
238,7309326,1,1300000.0,105.3592529296875,1
244,7309334,1,100000.0,145.13693237304688,1
262,7309353,1,20833.333984375,316.1623229980469,1
281,7309372,1,1010000.0,85.50487518310547,1
287,7309380,1,1742172.0,85.50487518310547,1
298,7309392,1,1600000.0,214.26751708984375,1
300,7309395,1,500000.0,76.97432708740234,1
302,7309398,1,2000000.0,80.27371215820312,1
305,7309404,1,1600000.0,134.4301300048828,1
306,7309406,1,1666666.625,201.73851013183594,1
307,7309407,1,1383333.375,163.23658752441406,1
309,7309409,1,650000.0,245.89552307128906,1
315,7309416,1,2405333.25,176.08572387695312,1
316,7309417,1,1850000.0,231.183837890625,1
326,7309435,1,1733333.375,62.33416748046875,1
